TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,timestamp,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3
1.995,20.863,6.004,273.935,1.726,23.718,805.0,490.458,1868,518.956,53.683,0.922,2023-06-24 01:59:10,4.772,15.067,15.243,88.673,1004.36,0.719,36.08,57.8,758.0,27.774,0.923,26.69,60.385,0.04,12.983,51.839,5.402,859.499
1.689,20.863,6.891,296.49,1.726,23.715,806.0,490.505,1867,520.396,54.946,0.739,2023-06-24 02:01:10,5.906,25.788,15.239,87.726,1004.34,0.716,24.77,60.5,715.0,27.762,0.739,26.594,60.377,0.03,12.98,52.092,6.451,932.282
2.854,20.863,7.486,268.74,1.726,23.716,808.0,489.08,1857,520.139,55.795,2.348,2023-06-24 02:03:11,5.004,20.8,15.235,98.224,1004.32,0.791,3.21,55.9,742.0,27.764,3.002,26.501,60.358,0.0,12.977,51.313,6.107,851.85
1.635,20.862,5.874,262.821,1.726,23.719,807.0,488.189,1881,518.782,56.146,0.277,2023-06-24 02:05:11,4.991,15.371,15.255,91.344,1004.3,0.093,-8.33,59.3,746.0,27.748,1.287,26.611,60.426,0.03,12.993,53.42,5.489,829.355
1.579,20.864,7.068,297.597,1.725,23.712,809.0,485.401,1880,516.398,56.341,0.172,2023-06-24 02:07:11,5.839,26.647,15.251,85.264,1004.28,0.151,-14.22,69.8,717.0,27.76,0.527,26.681,60.435,0.03,12.99,52.284,6.723,926.864
2.662,20.864,7.103,266.735,1.724,23.705,809.0,484.354,1857,514.484,56.528,1.664,2023-06-24 02:09:11,5.12,22.279,15.25,86.234,1004.25,0.828,-14.19,62.4,749.0,27.752,1.93,26.824,60.458,0.03,12.989,51.797,5.899,839.97
1.667,20.864,6.591,281.619,1.724,23.705,808.0,484.315,1864,512.053,56.454,0.19,2023-06-24 02:11:12,5.294,21.613,15.251,86.619,1004.23,0.095,-11.24,60.4,742.0,27.741,0.944,26.939,60.46,-0.01,12.99,51.461,6.217,868.736
2.054,20.863,7.049,303.408,1.723,23.706,806.0,486.062,1898,510.225,56.329,0.324,2023-06-24 02:13:11,5.276,25.515,15.253,86.842,1004.22,0.312,2.88,59.4,738.0,27.741,1.462,27.037,60.465,0.0,12.992,52.215,6.316,936.762
1.789,20.864,7.714,294.441,1.724,23.704,802.0,486.384,1864,509.144,56.392,0.771,2023-06-24 02:15:12,6.091,29.409,15.268,93.708,1004.2,0.036,6.56,55.2,706.0,27.744,1.38,27.211,60.531,0.04,13.005,51.393,7.189,919.95
2.106,20.864,6.89,286.631,1.725,23.704,799.0,488.766,1873,508.951,56.73,0.463,2023-06-24 02:17:12,5.426,22.24,15.278,95.873,1004.19,0.302,11.87,56.5,731.0,27.737,1.173,27.253,60.57,0.07,13.013,52.187,6.06,898.66
1.666,20.864,7.256,292.031,1.725,23.7,799.0,489.28,1884,509.793,56.87,0.055,2023-06-24 02:19:12,5.572,29.266,15.266,131.596,1004.18,0.036,10.62,57.5,728.0,27.739,1.188,27.278,60.539,0.03,13.003,51.844,6.958,912.244
1.421,20.857,6.247,284.275,1.728,23.698,796.0,490.248,1883,512.015,57.143,0.006,2023-06-24 02:21:13,5.387,19.968,15.276,199.022,1004.18,0.004,9.5,57.2,728.0,27.747,1.207,27.385,60.583,0.0,13.011,52.024,6.043,886.534
1.814,20.857,7.544,303.889,1.73,23.695,791.0,493.033,1877,513.827,57.593,0.178,2023-06-24 02:23:12,5.522,36.254,15.281,199.351,1004.17,0.178,12.11,59.7,727.0,27.732,1.683,27.58,60.612,0.03,13.016,51.419,7.113,953.85
1.368,20.86,6.492,293.718,1.732,23.692,790.0,491.86,1897,515.027,57.954,0.173,2023-06-24 02:25:13,5.461,24.101,15.285,186.414,1004.16,0.02,9.09,55.4,725.0,27.732,0.357,27.743,60.643,0.04,13.02,51.613,6.328,916.298
1.455,20.856,7.695,328.248,1.734,23.69,781.0,497.879,1854,515.545,58.513,0.144,2023-06-24 02:27:13,6.481,22.269,15.32,171.972,1004.16,0.127,19.0,62.8,688.0,27.727,0.633,27.853,60.785,0.09,13.049,51.026,7.386,1024.81
1.626,20.857,7.871,300.174,1.735,23.686,777.0,498.922,1873,514.708,58.952,0.403,2023-06-24 02:29:13,6.287,23.983,15.33,154.653,1004.16,0.401,19.43,61.0,698.0,27.72,0.878,28.004,60.837,0.13,13.057,51.497,7.427,934.108
1.533,20.854,7.986,323.685,1.739,23.679,778.0,496.826,1863,514.782,59.215,0.351,2023-06-24 02:31:12,6.457,31.143,15.325,141.917,1004.14,0.046,13.37,58.3,691.0,27.715,0.518,28.13,60.845,0.1,13.053,51.938,7.694,1000.64
1.672,20.857,7.964,310.078,1.746,23.666,779.0,493.815,1876,516.249,59.56,0.524,2023-06-24 02:33:14,5.782,34.184,15.316,144.851,1004.12,0.155,-12.21,56.9,711.0,27.706,0.757,28.15,60.858,0.0,13.046,50.902,7.634,968.086
2.11,20.854,7.884,307.16,1.754,23.655,778.0,493.682,1868,518.907,60.011,0.931,2023-06-24 02:35:14,5.755,31.056,15.302,146.617,1004.11,0.797,-14.64,56.4,715.0,27.701,1.522,28.21,60.843,-0.06,13.035,51.638,7.123,975.155
1.657,20.858,8.0,308.185,1.758,23.649,775.0,494.644,1866,519.768,60.373,0.422,2023-06-24 02:37:14,6.185,40.049,15.303,138.701,1004.1,0.407,-3.94,59.3,697.0,27.7,0.686,28.345,60.868,-0.06,13.036,51.775,7.574,957.612
2.361,20.862,9.075,322.358,1.755,23.642,773.0,494.926,1879,519.016,60.788,0.878,2023-06-24 02:39:14,6.154,38.6,15.315,126.448,1004.09,0.55,3.76,59.2,701.0,27.7,2.52,28.529,60.944,-0.02,13.047,51.877,7.904,1024.37
2.898,20.859,9.535,313.438,1.75,23.626,771.0,496.999,1877,517.714,61.244,2.123,2023-06-24 02:41:15,6.595,39.081,15.306,124.899,1004.08,0.923,7.65,56.1,684.0,27.7,2.885,28.602,60.964,0.01,13.04,51.589,7.531,982.459
1.624,20.862,6.897,308.729,1.746,23.612,771.0,497.988,1879,515.105,61.741,0.457,2023-06-24 02:43:16,5.675,22.572,15.296,117.782,1004.07,0.205,8.11,60.7,715.0,27.7,0.727,28.579,60.978,-0.01,13.032,51.838,6.421,974.197
1.317,20.861,7.31,325.376,1.741,23.586,763.0,499.614,1875,508.954,62.224,0.159,2023-06-24 02:45:16,6.419,31.782,15.399,117.284,1004.16,0.13,10.43,86.1,690.0,27.687,0.19,28.372,61.48,0.13,13.12,54.011,7.146,1027.93
2.106,20.852,8.058,318.932,1.729,23.419,748.0,508.23,1864,496.393,59.466,1.257,2023-06-24 02:47:17,6.457,25.099,15.41,118.821,1004.28,0.964,30.37,59.2,690.0,27.575,1.744,28.557,62.143,0.33,13.136,52.305,7.132,994.444
1.433,20.848,8.161,326.583,1.721,23.171,744.0,510.182,1860,478.361,58.046,0.221,2023-06-24 02:49:17,6.878,27.944,15.344,127.533,1004.3,0.11,34.38,54.5,673.0,27.385,0.424,28.583,62.814,0.19,13.091,52.105,7.915,1016.51
1.801,20.854,8.17,319.304,1.716,22.915,675.0,523.249,1861,463.865,58.909,1.16,2023-06-24 02:51:19,6.642,28.524,15.3,577.576,1004.31,0.012,59.79,55.2,683.0,27.212,1.182,28.431,63.615,-0.12,13.066,52.095,7.557,997.599
1.283,20.859,7.284,334.31,1.713,22.709,684.0,524.302,1868,456.112,60.278,0.162,2023-06-24 02:53:17,6.41,21.845,15.284,552.848,1004.33,0.001,48.86,61.0,692.0,27.02,0.165,28.294,64.35,-0.27,13.061,51.976,7.158,1043.1
1.571,20.866,7.532,331.285,1.711,22.571,700.0,530.527,1870,450.738,62.974,0.613,2023-06-24 02:55:18,6.467,20.937,15.256,463.119,1004.34,0.0,53.27,58.1,686.0,26.829,0.613,28.076,64.772,-0.12,13.044,52.063,7.099,1032.25
1.544,20.87,9.181,347.365,1.708,22.46,708.0,536.689,1873,446.031,66.768,0.299,2023-06-24 02:57:18,7.347,28.965,15.242,320.926,1004.32,0.229,39.34,61.8,652.0,26.717,0.785,27.929,65.147,-0.07,13.036,52.404,8.757,1080.77
1.308,20.874,8.459,320.889,1.705,22.373,710.0,534.482,1859,441.613,70.345,0.033,2023-06-24 02:59:18,6.754,40.508,15.227,230.238,1004.3,0.025,31.99,57.7,669.0,26.622,1.009,27.959,65.432,-0.08,13.028,52.161,8.412,1001.4
